Time,Temperature,Pressure,Sea pressure,Depth
8/18/2023 7:28:10,14.0577008,13.17100618,3.038506176,3.013728248
8/18/2023 7:28:11,14.05740118,13.54569923,3.413199233,3.385365816
8/18/2023 7:28:12,14.05776072,13.91086485,3.778364854,3.747553643
8/18/2023 7:28:13,14.05794548,14.26538196,4.132881957,4.099179786
8/18/2023 7:28:14,14.05878441,14.64574368,4.513243676,4.476439791
8/18/2023 7:28:15,14.06026254,15.02402376,4.891523761,4.851635138
8/18/2023 7:28:16,14.06200037,15.39619985,5.263699849,5.220776264
8/18/2023 7:28:17,14.06296417,15.67813515,5.545635151,5.500412484
8/18/2023 7:28:18,14.06337366,15.84746649,5.714966493,5.668362989
8/18/2023 7:28:19,14.06299413,16.00435131,5.871851306,5.823968463
8/18/2023 7:28:20,14.06286929,16.2086572,6.076157199,6.026608314
8/18/2023 7:28:21,14.05866457,16.48807195,6.355571945,6.303744534
8/18/2023 7:28:22,14.05688185,16.84904193,6.716541928,6.661770936
8/18/2023 7:28:23,13.99388376,17.28741847,7.154918468,7.096572672
8/18/2023 7:28:24,13.92612814,17.73717804,7.604678042,7.542664618
8/18/2023 7:28:25,13.919803,18.14915865,8.01665865,7.951285672
8/18/2023 7:28:26,13.91142316,18.54824858,8.415748578,8.347121165
8/18/2023 7:28:27,13.9070938,18.95439699,8.821896987,8.749957578
8/18/2023 7:28:28,13.90607632,19.37618962,9.243689619,9.168310643
8/18/2023 7:28:29,13.90503391,19.81592038,9.683420384,9.604455562
8/18/2023 7:28:30,13.90425086,20.26434078,10.13184078,10.04921925
8/18/2023 7:28:31,13.90328328,20.71332322,10.58082322,10.4945404
8/18/2023 7:28:32,13.90255012,21.14437022,11.01187022,10.92207236
8/18/2023 7:28:33,13.90006139,21.60937559,11.47687559,11.38328578
8/18/2023 7:28:34,13.90016114,22.04014427,11.90764427,11.8105417
8/18/2023 7:28:35,13.89821607,22.44793244,12.31543244,12.2150045
8/18/2023 7:28:36,13.89571246,22.85880481,12.72630481,12.62252635
8/18/2023 7:28:37,13.8938672,23.23128161,13.09878161,12.99196574
8/18/2023 7:28:38,13.88265659,23.58446119,13.45196119,13.34226527
8/18/2023 7:28:39,13.86838542,23.92078439,13.78828439,13.67584588
8/18/2023 7:28:40,13.8515732,24.25458601,14.12208601,14.00692546
8/18/2023 7:28:41,13.84336233,24.60240203,14.46990203,14.35190516
8/18/2023 7:28:42,13.83848192,24.92751693,14.79501693,14.67436887
8/18/2023 7:28:43,13.82936468,25.28934834,15.15684834,15.03324967
8/18/2023 7:28:44,13.81830422,25.67924369,15.54674369,15.41996557
8/18/2023 7:28:45,13.81565763,26.0974113,15.9649113,15.83472317
8/18/2023 7:28:46,13.81263729,26.43906531,16.30656531,16.17359111
8/18/2023 7:28:47,13.81028984,26.79109036,16.65859036,16.52274553
8/18/2023 7:28:48,13.8003224,27.08485147,16.95235147,16.81411112
8/18/2023 7:28:49,13.79082912,27.36428602,17.23178602,17.09126698
8/18/2023 7:28:50,13.78842726,27.6490464,17.5165464,17.37370524
8/18/2023 7:28:51,13.78564674,27.97472781,17.84222781,17.69673084
8/18/2023 7:28:52,13.78230321,28.36322185,18.23072185,18.08205685
8/18/2023 7:28:53,13.77970219,28.78335792,18.65085792,18.49876686
8/18/2023 7:28:54,13.77910426,29.14856065,19.01606065,18.8609915
8/18/2023 7:28:55,13.77724074,29.48685755,19.35435755,19.1965297
8/18/2023 7:28:56,13.77326465,29.76769788,19.63519788,19.47507988
8/18/2023 7:28:57,13.77499359,30.04660268,19.91410268,19.75171031
8/18/2023 7:28:58,13.78379309,30.30782391,20.17532391,20.01080137
8/18/2023 7:28:59,13.79025606,30.62482159,20.49232159,20.32521405
8/18/2023 7:29:00,13.79497518,31.07803708,20.94553708,20.77473373
8/18/2023 7:29:01,13.79498017,31.37737876,21.24487876,21.07163438
8/18/2023 7:29:02,13.76818759,31.76559297,21.63309297,21.45668285
8/18/2023 7:29:03,13.74872818,32.0786694,21.9461694,21.76720626
8/18/2023 7:29:04,13.73090538,32.34774193,22.21524193,22.0340846
8/18/2023 7:29:05,13.71111784,32.64344206,22.51094206,22.32737339
8/18/2023 7:29:06,13.68208191,32.93802168,22.80552168,22.61955083
8/18/2023 7:29:07,13.65321664,33.18132846,23.04882846,22.86087353
8/18/2023 7:29:08,13.59852524,33.44255458,23.31005458,23.11996944
8/18/2023 7:29:09,13.44993718,33.74470302,23.61220302,23.41965397
8/18/2023 7:29:10,13.34867196,34.06843424,23.93593424,23.74074528
8/18/2023 7:29:11,13.17943142,34.40871931,24.27621931,24.07825544
8/18/2023 7:29:12,12.99049812,34.64023672,24.50773672,24.30788491
8/18/2023 7:29:13,12.82162537,34.88773094,24.75523094,24.55336091
8/18/2023 7:29:14,12.57084311,35.16270834,25.03020834,24.82609596
8/18/2023 7:29:15,12.43213195,35.45112511,25.31862511,25.11216079
8/18/2023 7:29:16,12.29057963,35.75188834,25.61938834,25.41047141
8/18/2023 7:29:17,12.09728131,36.01705427,25.88455427,25.673475
8/18/2023 7:29:18,11.87726095,36.18552004,26.05302004,25.840567
8/18/2023 7:29:19,11.8416691,36.37248432,26.23998432,26.02600665
8/18/2023 7:29:20,11.74798443,36.65474593,26.52224593,26.30596652
8/18/2023 7:29:21,11.64085648,36.93560545,26.80310545,26.58453574
8/18/2023 7:29:22,11.58113717,37.22011815,27.08761815,26.86672833
8/18/2023 7:29:23,11.50167425,37.50799247,27.37549247,27.15225514
8/18/2023 7:29:24,11.42915999,37.8051144,27.6726144,27.44695414
8/18/2023 7:29:25,11.29695947,38.10082469,27.96832469,27.74025303
8/18/2023 7:29:26,11.14412042,38.40382947,28.27132947,28.04078691
8/18/2023 7:29:27,10.91932955,38.71243805,28.57993805,28.3468789
8/18/2023 7:29:28,10.57258271,39.01403763,28.88153763,28.64601904
8/18/2023 7:29:29,10.30799231,39.28928871,29.15678871,28.91902555
8/18/2023 7:29:30,10.17253271,39.56790144,29.43540144,29.19536629
8/18/2023 7:29:31,10.08319937,39.856042,29.723542,29.48115717
8/18/2023 7:29:32,10.05310225,40.11586795,29.98336795,29.73886433
8/18/2023 7:29:33,9.98056138,40.36280422,30.23030422,29.98378693
8/18/2023 7:29:34,9.913628611,40.59572491,30.46322491,30.21480823
8/18/2023 7:29:35,9.851295135,40.77623511,30.64373511,30.39384643
8/18/2023 7:29:36,9.82817074,40.96879553,30.83629553,30.58483659
8/18/2023 7:29:37,9.764000727,41.22805719,31.09555719,30.84198407
8/18/2023 7:29:38,9.520988014,41.46209684,31.32959684,31.07411521
8/18/2023 7:29:39,9.425065225,41.74630242,31.61380242,31.35600319
8/18/2023 7:29:40,9.29823441,42.05180506,31.91930506,31.65901456
8/18/2023 7:29:41,9.242722527,42.32759546,32.19509546,31.93255599
8/18/2023 7:29:42,9.169631743,42.60170095,32.46920095,32.20442626
8/18/2023 7:29:43,9.12744617,42.88785458,32.75535458,32.48824641
8/18/2023 7:29:44,9.105792625,43.20707584,33.07457584,32.80486453
8/18/2023 7:29:45,9.033814627,43.50583427,33.37333427,33.10118669
8/18/2023 7:29:46,8.846041998,43.77880608,33.64630608,33.37193252
8/18/2023 7:29:47,8.730237455,44.00637276,33.87387276,33.59764346
8/18/2023 7:29:48,8.577300666,44.19358129,34.06108129,33.78332538
8/18/2023 7:29:49,8.493197442,44.36845714,34.23595714,33.95677518
8/18/2023 7:29:50,8.412041213,44.54108963,34.40858963,34.12799991
8/18/2023 7:29:51,8.36234838,44.73305814,34.60055814,34.31840299
8/18/2023 7:29:52,8.257027142,44.96678072,34.83428072,34.55021965
8/18/2023 7:29:53,8.175822325,45.2450603,35.1125603,34.82622996
8/18/2023 7:29:54,8.117083799,45.46448747,35.33198747,35.04386778
8/18/2023 7:29:55,8.080782849,45.61328941,35.48078941,35.19145629
8/18/2023 7:29:56,8.059379054,45.72790105,35.59540105,35.30513332
8/18/2023 7:29:57,8.041226988,45.90192138,35.76942138,35.47773457
8/18/2023 7:29:58,8.027317897,46.08687147,35.95437147,35.66117645
8/18/2023 7:29:59,8.010663178,46.23370844,36.10120844,35.80681603
8/18/2023 7:30:00,7.98058129,46.38026326,36.24776326,35.95217574
8/18/2023 7:30:01,7.968121099,46.38362213,36.25112213,35.95550722
